movie_id,movie_title,movie_rank,movie_year,movie_runtime,movie_rating,movie_votes,movie_genres
tt2548396,The Cloverfield Paradox,143.,2018,102 min,5.5,"106,130","Action, Horror, Sci-Fi           "
tt4777008,Maleficent: Mistress of Evil,144.,2019,119 min,6.6,"106,129","Adventure, Family, Fantasy           "
tt5503686,Hustlers,145.,2019,110 min,6.3,"100,915","Comedy, Crime, Drama           "
tt4530422,Overlord,146.,2018,110 min,6.6,"100,055","Action, Horror, Sci-Fi           "
tt1206885,Rambo: Last Blood,147.,2019,89 min,6.1,"99,340","Action, Crime, Thriller           "
tt7752126,Brightburn,148.,2019,90 min,6.1,"99,015","Drama, Horror, Mystery           "
tt6189022,Angel Has Fallen,149.,2019,121 min,6.4,"98,623","Action, Thriller           "
tt4218572,Widows,150.,2018,129 min,6.8,"98,428","Crime, Drama, Thriller           "
tt6048922,Greyhound,151.,2020,91 min,7.0,"97,971","Action, Drama, History           "
tt6911608,Mamma Mia! Here We Go Again,152.,2018,114 min,6.6,"96,272","Comedy, Musical, Romance           "
tt7886848,Sadak 2,153.,2020,133 min,1.1,"95,972","Action, Drama           "
tt2481498,"Extremely Wicked, Shockingly Evil and Vile",154.,2019,110 min,6.7,"95,250","Biography, Crime, Drama           "
tt8580274,Eurovision Song Contest: The Story of Fire Saga,155.,2020,123 min,6.5,"94,634","Comedy, Musical           "
tt8503618,Hamilton,156.,2020,160 min,8.4,"94,565","Biography, Drama, History           "
tt8108198,Andhadhun,157.,2018,139 min,8.2,"93,931","Comedy, Crime, Music           "
tt0837563,Pet Sematary,158.,2019,101 min,5.7,"92,969","Horror, Mystery, Thriller           "
tt1860242,The Highwaymen,159.,2019,132 min,6.9,"92,256","Biography, Crime, Drama           "
tt8613070,Portrait of a Lady on Fire,160.,2019,122 min,8.1,"92,097","Drama, Romance           "
tt6292852,I Am Mother,161.,2019,113 min,6.7,"91,857","Drama, Mystery, Sci-Fi           "
tt2274648,Hellboy,162.,2019,120 min,5.2,"91,192","Action, Adventure, Fantasy           "
tt4364194,The Peanut Butter Falcon,163.,2019,97 min,7.6,"90,970","Adventure, Comedy, Drama           "
tt4139588,Polar,164.,2019,118 min,6.3,"90,874","Action, Thriller           "
tt10886166,365 Days,165.,2020,114 min,3.3,"90,342","Drama, Romance           "
tt8267604,Capernaum,166.,2018,126 min,8.4,"89,957",Drama           
